"","total","expected","hits","Raw p","Holm p","FDR"
"Purine metabolism",70,7.56,21,5.14e-06,0.000416,0.000416
"Taurine and hypotaurine metabolism",8,0.864,5,0.000591,0.0473,0.017
"Pantothenate and CoA biosynthesis",20,2.16,8,0.000631,0.0498,0.017
"Arginine biosynthesis",14,1.51,6,0.00208,0.162,0.0408
"Glycolysis / Gluconeogenesis",24,2.59,8,0.00252,0.194,0.0408
"Pyrimidine metabolism",39,4.21,10,0.00643,0.489,0.0843
"Alanine, aspartate and glutamate metabolism",28,3.02,8,0.00728,0.546,0.0843
"Vitamin B6 metabolism",9,0.972,4,0.0107,0.791,0.108
"Citrate cycle (TCA cycle)",20,2.16,6,0.0154,1,0.139
"beta-Alanine metabolism",21,2.27,6,0.0197,1,0.16
"Histidine metabolism",16,1.73,5,0.0224,1,0.165
"Pentose phosphate pathway",22,2.38,6,0.0248,1,0.167
"Arginine and proline metabolism",35,3.78,8,0.0286,1,0.178
"Biosynthesis of unsaturated fatty acids",36,3.89,8,0.0334,1,0.194
"Glycine, serine and threonine metabolism",32,3.45,7,0.0492,1,0.249
"Inositol phosphate metabolism",32,3.45,7,0.0492,1,0.249
"D-Amino acid metabolism",14,1.51,4,0.0552,1,0.256
"Cysteine and methionine metabolism",33,3.56,7,0.057,1,0.256
"Riboflavin metabolism",4,0.432,2,0.06,1,0.256
"Nicotinate and nicotinamide metabolism",15,1.62,4,0.0692,1,0.28
"Glyoxylate and dicarboxylate metabolism",32,3.45,6,0.122,1,0.472
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.648,2,0.13,1,0.479
"Thiamine metabolism",7,0.756,2,0.169,1,0.588
"Glutathione metabolism",28,3.02,5,0.177,1,0.588
"Fructose and mannose metabolism",21,2.27,4,0.184,1,0.588
"Lysine degradation",29,3.13,5,0.196,1,0.588
"Pyruvate metabolism",22,2.38,4,0.207,1,0.588
"Valine, leucine and isoleucine biosynthesis",8,0.864,2,0.211,1,0.588
"Sulfur metabolism",8,0.864,2,0.211,1,0.588
"Glycerolipid metabolism",16,1.73,3,0.245,1,0.661
"Biotin metabolism",10,1.08,2,0.295,1,0.77
"Glycerophospholipid metabolism",36,3.89,5,0.347,1,0.853
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.432,1,0.367,1,0.853
"Selenocompound metabolism",20,2.16,3,0.369,1,0.853
"Ether lipid metabolism",20,2.16,3,0.369,1,0.853
"Amino sugar and nucleotide sugar metabolism",31,3.35,4,0.435,1,0.978
"Butanoate metabolism",15,1.62,2,0.494,1,1
"Phosphonate and phosphinate metabolism",6,0.648,1,0.497,1,1
"Nitrogen metabolism",6,0.648,1,0.497,1,1
"Starch and sucrose metabolism",18,1.94,2,0.595,1,1
"Lipoic acid metabolism",28,3.02,3,0.597,1,1
"Phenylalanine metabolism",8,0.864,1,0.6,1,1
"Tryptophan metabolism",40,4.32,4,0.643,1,1
"Tyrosine metabolism",42,4.53,4,0.682,1,1
"Ascorbate and aldarate metabolism",11,1.19,1,0.717,1,1
"Primary bile acid biosynthesis",46,4.97,4,0.75,1,1
"Metabolism of xenobiotics by cytochrome P450",68,7.34,6,0.762,1,1
"Galactose metabolism",26,2.81,2,0.79,1,1
"One carbon pool by folate",26,2.81,2,0.79,1,1
"Drug metabolism - other enzymes",39,4.21,3,0.811,1,1
"Drug metabolism - cytochrome P450",55,5.94,4,0.863,1,1
"Porphyrin metabolism",31,3.35,2,0.865,1,1
"Arachidonic acid metabolism",44,4.75,3,0.871,1,1
"Terpenoid backbone biosynthesis",18,1.94,1,0.874,1,1
"Pentose and glucuronate interconversions",19,2.05,1,0.887,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.16,1,0.9,1,1
"Propanoate metabolism",22,2.38,1,0.921,1,1
"Fatty acid degradation",39,4.21,2,0.936,1,1
"Biosynthesis of various nucleotide sugars",24,2.59,1,0.937,1,1
"Valine, leucine and isoleucine degradation",40,4.32,2,0.942,1,1
"Folate biosynthesis",26,2.81,1,0.95,1,1
"Steroid hormone biosynthesis",86,9.29,5,0.966,1,1
"Fatty acid biosynthesis",47,5.07,2,0.971,1,1
"Sphingolipid metabolism",33,3.56,1,0.978,1,1
"Fatty acid elongation",38,4.1,1,0.988,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.72,1,0.998,1,1
